pretest,method,"concat(question_name,eid)",woc
High,LOCAL::AS,jwhile4225,2
High,LOCAL::AS,jwhile4469,1
High,LOCAL::COS,joperator1225,2
High,LOCAL::COS,joperator1221,3
High,LOCAL::COS,jbankaccount480,1
High,LOCAL::COS,jbankaccount220,1
High,LOCAL::COS,jInheritance4248,1
High,LOCAL::COS,jInheritance4241,3
High,LOCAL::COS,jdouble1215,2
High,LOCAL::COS,jInheritance1248,1
High,LOCAL::COS,jInheritance2248,2
High,LOCAL::COS,jInheritance3248,2
High,LOCAL::COS,jincrement208,1
High,LOCAL::COS,jif_else1225,2
High,LOCAL::COS,jif_else1221,2
High,LOCAL::COS,jif_else5221,2
High,LOCAL::COS,jif_else5469,1
High,LOCAL::COS,jboolean_var230,2
High,LOCAL::COS,jboolean_var229,2
High,LOCAL::COS,jarray4243,1
High,LOCAL::COS,jarray4239,3
High,LOCAL::COS,jarray1243,1
High,LOCAL::COS,jarray1469,1
High,LOCAL::COS,jarray2243,1
High,LOCAL::COS,jarray2244,1
High,LOCAL::COS,jclasses_constructor480,2
High,LOCAL::COS,jfor2485,1
High,LOCAL::COS,j2d_arrays1243,2
High,LOCAL::COS,j2d_arrays1244,2
High,LOCAL::COS,jboolean_operators1469,2
High,LOCAL::COS,jwhile3469,1
High,LOCAL::COS,jwhile4225,2
High,LOCAL::COS,jwhile4470,1
High,LOCAL::COS,jba_ques480,1
High,NAIVE::LOCAL,joperator1221,3
High,NAIVE::LOCAL,joperator1226,2
High,NAIVE::LOCAL,jbankaccount489,2
High,NAIVE::LOCAL,jbankaccount220,1
High,NAIVE::LOCAL,jInheritance4248,1
High,NAIVE::LOCAL,jdouble1215,2
High,NAIVE::LOCAL,jdouble1208,2
High,NAIVE::LOCAL,jInheritance1248,1
High,NAIVE::LOCAL,jclass1211,2
High,NAIVE::LOCAL,jInheritance3248,2
High,NAIVE::LOCAL,jincrement219,3
High,NAIVE::LOCAL,jincrement221,1
High,NAIVE::LOCAL,jif_else1225,2
High,NAIVE::LOCAL,jif_else1469,2
High,NAIVE::LOCAL,jif_else5226,2
High,NAIVE::LOCAL,jboolean_var229,2
High,NAIVE::LOCAL,jarray4239,3
High,NAIVE::LOCAL,jarray4238,2
High,NAIVE::LOCAL,jarray1237,2
High,NAIVE::LOCAL,jvariable1487,2
High,NAIVE::LOCAL,jvariable1484,2
High,NAIVE::LOCAL,jarray2238,2
High,NAIVE::LOCAL,jarray2237,2
High,NAIVE::LOCAL,jfor2485,1
High,NAIVE::LOCAL,jfor1484,1
High,NAIVE::LOCAL,j2d_arrays1243,2
High,NAIVE::LOCAL,j2d_arrays1244,2
High,NAIVE::LOCAL,jboolean_operators1473,2
High,NAIVE::LOCAL,jboolean_operators1469,2
High,NAIVE::LOCAL,jwhile3232,3
High,NAIVE::LOCAL,jwhile4225,2
High,NAIVE::LOCAL,jwhile4469,1
High,NAIVE::LOCAL,jba_ques211,2
High,P::GLOBAL::AS,joperator1221,3
High,P::GLOBAL::AS,joperator1221,3
High,P::GLOBAL::AS,joperator1221,3
High,P::GLOBAL::AS,joperator1221,3
High,P::GLOBAL::AS,joperator1468,1
High,P::GLOBAL::AS,joperator1221,3
High,P::GLOBAL::AS,joperator1468,1
High,P::GLOBAL::AS,joperator1221,3
High,P::GLOBAL::AS,joperator1221,3
High,P::GLOBAL::AS,joperator1468,1
High,P::GLOBAL::AS,joperator1221,3
High,P::GLOBAL::AS,joperator1468,1
High,P::GLOBAL::AS,joperator1221,3
High,P::GLOBAL::AS,joperator1221,3
High,P::GLOBAL::AS,joperator1221,3
High,P::GLOBAL::AS,jbankaccount211,2
High,P::GLOBAL::AS,jbankaccount212,2
High,P::GLOBAL::AS,jbankaccount211,2
High,P::GLOBAL::AS,jbankaccount212,2
High,P::GLOBAL::AS,jbankaccount211,2
High,P::GLOBAL::AS,jbankaccount212,2
High,P::GLOBAL::AS,jbankaccount211,2
High,P::GLOBAL::AS,jbankaccount212,2
High,P::GLOBAL::AS,jbankaccount211,2
High,P::GLOBAL::AS,jbankaccount212,2
High,P::GLOBAL::AS,jbankaccount211,2
High,P::GLOBAL::AS,jbankaccount212,2
High,P::GLOBAL::AS,jbankaccount211,2
High,P::GLOBAL::AS,jbankaccount212,2
High,P::GLOBAL::AS,jbankaccount211,2
High,P::GLOBAL::AS,jbankaccount212,2
High,P::GLOBAL::AS,jbankaccount211,2
High,P::GLOBAL::AS,jbankaccount212,2
High,P::GLOBAL::AS,jbankaccount211,2
High,P::GLOBAL::AS,jbankaccount212,2
High,P::GLOBAL::AS,jbankaccount211,2
High,P::GLOBAL::AS,jbankaccount212,2
High,P::GLOBAL::AS,jbankaccount211,2
High,P::GLOBAL::AS,jbankaccount212,2
High,P::GLOBAL::AS,jInheritance4498,2
High,P::GLOBAL::AS,jInheritance4241,3
High,P::GLOBAL::AS,jInheritance4498,2
High,P::GLOBAL::AS,jInheritance4241,3
High,P::GLOBAL::AS,jInheritance4498,2
High,P::GLOBAL::AS,jInheritance4498,2
High,P::GLOBAL::AS,jdouble1215,2
High,P::GLOBAL::AS,jdouble1215,2
High,P::GLOBAL::AS,jdouble1215,2
High,P::GLOBAL::AS,jdouble1468,2
High,P::GLOBAL::AS,jdouble1215,2
High,P::GLOBAL::AS,jdouble1215,2
High,P::GLOBAL::AS,jdouble1215,2
High,P::GLOBAL::AS,jdouble1215,2
High,P::GLOBAL::AS,jdouble1215,2
High,P::GLOBAL::AS,jdouble1215,2
High,P::GLOBAL::AS,jdouble1215,2
High,P::GLOBAL::AS,jInheritance1498,2
High,P::GLOBAL::AS,jInheritance1498,2
High,P::GLOBAL::AS,jInheritance1498,2
High,P::GLOBAL::AS,jInheritance1498,2
High,P::GLOBAL::AS,jInheritance1498,2
High,P::GLOBAL::AS,jInheritance2497,1
High,P::GLOBAL::AS,jInheritance2498,2
High,P::GLOBAL::AS,jInheritance2497,1
High,P::GLOBAL::AS,jInheritance2498,2
High,P::GLOBAL::AS,jInheritance2497,1
High,P::GLOBAL::AS,jInheritance2498,2
High,P::GLOBAL::AS,jInheritance2497,1
High,P::GLOBAL::AS,jInheritance2498,2
High,P::GLOBAL::AS,jInheritance2497,1
High,P::GLOBAL::AS,jInheritance2498,2
High,P::GLOBAL::AS,jclass1211,2
High,P::GLOBAL::AS,jclass1212,2
High,P::GLOBAL::AS,jclass1211,2
High,P::GLOBAL::AS,jclass1212,2
High,P::GLOBAL::AS,jclass1211,2
High,P::GLOBAL::AS,jclass1212,2
High,P::GLOBAL::AS,jclass1211,2
High,P::GLOBAL::AS,jclass1212,2
High,P::GLOBAL::AS,jclass1211,2
High,P::GLOBAL::AS,jclass1212,2
High,P::GLOBAL::AS,jclass1211,2
High,P::GLOBAL::AS,jclass1212,2
High,P::GLOBAL::AS,jclass1211,2
High,P::GLOBAL::AS,jclass1212,2
High,P::GLOBAL::AS,jclass1211,2
High,P::GLOBAL::AS,jclass1212,2
High,P::GLOBAL::AS,jclass1211,2
High,P::GLOBAL::AS,jclass1212,2
High,P::GLOBAL::AS,jclass1211,2
High,P::GLOBAL::AS,jclass1212,2
High,P::GLOBAL::AS,jclass1211,2
High,P::GLOBAL::AS,jclass1212,2
High,P::GLOBAL::AS,jclass1211,2
High,P::GLOBAL::AS,jclass1212,2
High,P::GLOBAL::AS,jclass1211,2
High,P::GLOBAL::AS,jclass1212,2
High,P::GLOBAL::AS,jInheritance3497,1
High,P::GLOBAL::AS,jInheritance3498,1
High,P::GLOBAL::AS,jInheritance3497,1
High,P::GLOBAL::AS,jInheritance3498,1
High,P::GLOBAL::AS,jInheritance3497,1
High,P::GLOBAL::AS,jInheritance3498,1
High,P::GLOBAL::AS,jInheritance3497,1
High,P::GLOBAL::AS,jInheritance3498,1
High,P::GLOBAL::AS,jInheritance3497,1
High,P::GLOBAL::AS,jInheritance3498,1
High,P::GLOBAL::AS,jincrement219,3
High,P::GLOBAL::AS,jincrement219,3
High,P::GLOBAL::AS,jincrement219,3
High,P::GLOBAL::AS,jincrement219,3
High,P::GLOBAL::AS,jincrement468,1
High,P::GLOBAL::AS,jincrement219,3
High,P::GLOBAL::AS,jincrement468,1
High,P::GLOBAL::AS,jincrement219,3
High,P::GLOBAL::AS,jincrement219,3
High,P::GLOBAL::AS,jincrement468,1
High,P::GLOBAL::AS,jincrement219,3
High,P::GLOBAL::AS,jincrement219,3
High,P::GLOBAL::AS,jincrement219,3
High,P::GLOBAL::AS,jif_else1230,2
High,P::GLOBAL::AS,jif_else1469,2
High,P::GLOBAL::AS,jif_else1230,2
High,P::GLOBAL::AS,jif_else1469,2
High,P::GLOBAL::AS,jif_else1230,2
High,P::GLOBAL::AS,jif_else1469,2
High,P::GLOBAL::AS,jif_else1230,2
High,P::GLOBAL::AS,jif_else1469,2
High,P::GLOBAL::AS,jif_else1230,2
High,P::GLOBAL::AS,jif_else1469,2
High,P::GLOBAL::AS,jif_else1230,2
High,P::GLOBAL::AS,jif_else1469,2
High,P::GLOBAL::AS,jif_else1221,2
High,P::GLOBAL::AS,jif_else1469,2
High,P::GLOBAL::AS,jif_else1221,2
High,P::GLOBAL::AS,jif_else1469,2
High,P::GLOBAL::AS,jif_else1230,2
High,P::GLOBAL::AS,jif_else1469,2
High,P::GLOBAL::AS,jif_else5230,1
High,P::GLOBAL::AS,jif_else5469,1
High,P::GLOBAL::AS,jif_else5230,1
High,P::GLOBAL::AS,jif_else5469,1
High,P::GLOBAL::AS,jif_else5469,1
High,P::GLOBAL::AS,jif_else5230,1
High,P::GLOBAL::AS,jif_else5469,1
High,P::GLOBAL::AS,jif_else5230,1
High,P::GLOBAL::AS,jif_else5469,1
High,P::GLOBAL::AS,jif_else5230,1
High,P::GLOBAL::AS,jif_else5469,1
High,P::GLOBAL::AS,jif_else5235,1
High,P::GLOBAL::AS,jif_else5226,2
High,P::GLOBAL::AS,jif_else5218,1
High,P::GLOBAL::AS,jif_else5221,2
High,P::GLOBAL::AS,jif_else5230,1
High,P::GLOBAL::AS,jif_else5469,1
High,P::GLOBAL::AS,jboolean_var230,2
High,P::GLOBAL::AS,jboolean_var229,2
High,P::GLOBAL::AS,jboolean_var230,2
High,P::GLOBAL::AS,jboolean_var229,2
High,P::GLOBAL::AS,jboolean_var230,2
High,P::GLOBAL::AS,jboolean_var229,2
High,P::GLOBAL::AS,jboolean_var230,2
High,P::GLOBAL::AS,jboolean_var229,2
High,P::GLOBAL::AS,jboolean_var230,2
High,P::GLOBAL::AS,jboolean_var229,2
High,P::GLOBAL::AS,jboolean_var230,2
High,P::GLOBAL::AS,jboolean_var229,2
High,P::GLOBAL::AS,jboolean_var230,2
High,P::GLOBAL::AS,jboolean_var229,2
High,P::GLOBAL::AS,jboolean_var230,2
High,P::GLOBAL::AS,jboolean_var229,2
High,P::GLOBAL::AS,jboolean_var230,2
High,P::GLOBAL::AS,jboolean_var229,2
High,P::GLOBAL::AS,jarray4238,2
High,P::GLOBAL::AS,jarray4239,3
High,P::GLOBAL::AS,jarray4239,3
High,P::GLOBAL::AS,jarray4238,2
High,P::GLOBAL::AS,jarray4239,3
High,P::GLOBAL::AS,jarray4238,2
High,P::GLOBAL::AS,jarray4238,2
High,P::GLOBAL::AS,jarray4239,3
High,P::GLOBAL::AS,jarray4238,2
High,P::GLOBAL::AS,jarray4239,3
High,P::GLOBAL::AS,jarray4238,2
High,P::GLOBAL::AS,jarray4239,3
High,P::GLOBAL::AS,jarray4238,2
High,P::GLOBAL::AS,jarray4239,3
High,P::GLOBAL::AS,jarray4238,2
High,P::GLOBAL::AS,jarray4239,3
High,P::GLOBAL::AS,jarray4238,2
High,P::GLOBAL::AS,jarray4239,3
High,P::GLOBAL::AS,jarray4238,2
High,P::GLOBAL::AS,jarray4239,3
High,P::GLOBAL::AS,jarray4238,2
High,P::GLOBAL::AS,jarray4239,3
High,P::GLOBAL::AS,jarray1238,1
High,P::GLOBAL::AS,jarray1237,2
High,P::GLOBAL::AS,jarray1238,1
High,P::GLOBAL::AS,jarray1237,2
High,P::GLOBAL::AS,jarray1238,1
High,P::GLOBAL::AS,jarray1237,2
High,P::GLOBAL::AS,jarray1238,1
High,P::GLOBAL::AS,jarray1237,2
High,P::GLOBAL::AS,jarray1238,1
High,P::GLOBAL::AS,jarray1237,2
High,P::GLOBAL::AS,jarray1238,1
High,P::GLOBAL::AS,jarray1237,2
High,P::GLOBAL::AS,jarray1238,1
High,P::GLOBAL::AS,jarray1237,2
High,P::GLOBAL::AS,jarray1238,1
High,P::GLOBAL::AS,jarray1237,2
High,P::GLOBAL::AS,jarray1238,1
High,P::GLOBAL::AS,jarray1237,2
High,P::GLOBAL::AS,jarray1238,1
High,P::GLOBAL::AS,jarray1237,2
High,P::GLOBAL::AS,jarray1238,1
High,P::GLOBAL::AS,jarray1237,2
High,P::GLOBAL::AS,jarray1238,1
High,P::GLOBAL::AS,jarray1237,2
High,P::GLOBAL::AS,jvariable1468,1
High,P::GLOBAL::AS,jvariable1221,1
High,P::GLOBAL::AS,jvariable1468,1
High,P::GLOBAL::AS,jvariable1221,1
High,P::GLOBAL::AS,jvariable1468,1
High,P::GLOBAL::AS,jvariable1468,1
High,P::GLOBAL::AS,jvariable1468,1
High,P::GLOBAL::AS,jvariable1468,1
High,P::GLOBAL::AS,jvariable1468,1
High,P::GLOBAL::AS,jvariable1468,1
High,P::GLOBAL::AS,jarray2238,2
High,P::GLOBAL::AS,jarray2469,1
High,P::GLOBAL::AS,jarray2238,2
High,P::GLOBAL::AS,jarray2469,1
High,P::GLOBAL::AS,jarray2238,2
High,P::GLOBAL::AS,jarray2469,1
High,P::GLOBAL::AS,jarray2469,1
High,P::GLOBAL::AS,jarray2238,2
High,P::GLOBAL::AS,jarray2469,1
High,P::GLOBAL::AS,jarray2238,2
High,P::GLOBAL::AS,jarray2469,1
High,P::GLOBAL::AS,jarray2469,1
High,P::GLOBAL::AS,jarray2237,2
High,P::GLOBAL::AS,jarray2469,1
High,P::GLOBAL::AS,jarray2238,2
High,P::GLOBAL::AS,jarray2469,1
High,P::GLOBAL::AS,jarray2238,2
High,P::GLOBAL::AS,jarray2469,1
High,P::GLOBAL::AS,jarray2238,2
High,P::GLOBAL::AS,jarray2469,1
High,P::GLOBAL::AS,jclasses_constructor211,2
High,P::GLOBAL::AS,jclasses_constructor212,2
High,P::GLOBAL::AS,jclasses_constructor211,2
High,P::GLOBAL::AS,jclasses_constructor212,2
High,P::GLOBAL::AS,jclasses_constructor211,2
High,P::GLOBAL::AS,jclasses_constructor212,2
High,P::GLOBAL::AS,jclasses_constructor211,2
High,P::GLOBAL::AS,jclasses_constructor212,2
High,P::GLOBAL::AS,jclasses_constructor211,2
High,P::GLOBAL::AS,jclasses_constructor212,2
High,P::GLOBAL::AS,jclasses_constructor211,2
High,P::GLOBAL::AS,jclasses_constructor212,2
High,P::GLOBAL::AS,jclasses_constructor211,2
High,P::GLOBAL::AS,jclasses_constructor212,2
High,P::GLOBAL::AS,jclasses_constructor211,2
High,P::GLOBAL::AS,jclasses_constructor212,2
High,P::GLOBAL::AS,jclasses_constructor211,2
High,P::GLOBAL::AS,jclasses_constructor212,2
High,P::GLOBAL::AS,jclasses_constructor211,2
High,P::GLOBAL::AS,jclasses_constructor212,2
High,P::GLOBAL::AS,jclasses_constructor211,2
High,P::GLOBAL::AS,jclasses_constructor212,2
High,P::GLOBAL::AS,jclasses_constructor211,2
High,P::GLOBAL::AS,jclasses_constructor212,2
High,P::GLOBAL::AS,jfor2230,1
High,P::GLOBAL::AS,jfor2494,1
High,P::GLOBAL::AS,jfor2230,1
High,P::GLOBAL::AS,jfor2494,1
High,P::GLOBAL::AS,jfor2494,1
High,P::GLOBAL::AS,jfor2230,1
High,P::GLOBAL::AS,jfor2230,1
High,P::GLOBAL::AS,jfor2494,1
High,P::GLOBAL::AS,jfor2230,1
High,P::GLOBAL::AS,jfor2494,1
High,P::GLOBAL::AS,jfor2230,1
High,P::GLOBAL::AS,jfor1469,1
High,P::GLOBAL::AS,jfor1238,0
High,P::GLOBAL::AS,jfor1487,1
High,P::GLOBAL::AS,jfor1238,0
High,P::GLOBAL::AS,jfor1487,1
High,P::GLOBAL::AS,jfor1484,1
High,P::GLOBAL::AS,jfor1487,1
High,P::GLOBAL::AS,jfor1469,1
High,P::GLOBAL::AS,jfor1469,1
High,P::GLOBAL::AS,jfor1487,1
High,P::GLOBAL::AS,jfor1484,1
High,P::GLOBAL::AS,jfor1238,0
High,P::GLOBAL::AS,jfor1487,1
High,P::GLOBAL::AS,jfor1238,0
High,P::GLOBAL::AS,jfor1469,1
High,P::GLOBAL::AS,jfor1487,1
High,P::GLOBAL::AS,jfor1238,0
High,P::GLOBAL::AS,jfor1487,1
High,P::GLOBAL::AS,jfor1484,1
High,P::GLOBAL::AS,jfor1487,1
High,P::GLOBAL::AS,jfor1469,1
High,P::GLOBAL::AS,jfor1469,1
High,P::GLOBAL::AS,j2d_arrays1243,2
High,P::GLOBAL::AS,j2d_arrays1237,1
High,P::GLOBAL::AS,j2d_arrays1243,2
High,P::GLOBAL::AS,j2d_arrays1244,2
High,P::GLOBAL::AS,j2d_arrays1243,2
High,P::GLOBAL::AS,j2d_arrays1244,2
High,P::GLOBAL::AS,j2d_arrays1243,2
High,P::GLOBAL::AS,j2d_arrays1237,1
High,P::GLOBAL::AS,j2d_arrays1243,2
High,P::GLOBAL::AS,j2d_arrays1237,1
High,P::GLOBAL::AS,j2d_arrays1243,2
High,P::GLOBAL::AS,j2d_arrays1244,2
High,P::GLOBAL::AS,j2d_arrays1243,2
High,P::GLOBAL::AS,j2d_arrays1237,1
High,P::GLOBAL::AS,j2d_arrays1243,2
High,P::GLOBAL::AS,j2d_arrays1243,2
High,P::GLOBAL::AS,j2d_arrays1237,1
High,P::GLOBAL::AS,j2d_arrays1243,2
High,P::GLOBAL::AS,j2d_arrays1237,1
High,P::GLOBAL::AS,j2d_arrays1243,2
High,P::GLOBAL::AS,j2d_arrays1237,1
High,P::GLOBAL::AS,j2d_arrays1243,2
High,P::GLOBAL::AS,j2d_arrays1237,1
High,P::GLOBAL::AS,jboolean_operators1230,2
High,P::GLOBAL::AS,jboolean_operators1469,2
High,P::GLOBAL::AS,jboolean_operators1230,2
High,P::GLOBAL::AS,jboolean_operators1469,2
High,P::GLOBAL::AS,jboolean_operators1230,2
High,P::GLOBAL::AS,jboolean_operators1469,2
High,P::GLOBAL::AS,jboolean_operators1230,2
High,P::GLOBAL::AS,jboolean_operators1469,2
High,P::GLOBAL::AS,jboolean_operators1230,2
High,P::GLOBAL::AS,jboolean_operators1469,2
High,P::GLOBAL::AS,jboolean_operators1230,2
High,P::GLOBAL::AS,jboolean_operators1469,2
High,P::GLOBAL::AS,jboolean_operators1230,2
High,P::GLOBAL::AS,jboolean_operators1469,2
High,P::GLOBAL::AS,jboolean_operators1230,2
High,P::GLOBAL::AS,jboolean_operators1469,2
High,P::GLOBAL::AS,jboolean_operators1230,2
High,P::GLOBAL::AS,jboolean_operators1469,2
High,P::GLOBAL::AS,jwhile3469,1
High,P::GLOBAL::AS,jwhile3469,1
High,P::GLOBAL::AS,jwhile3480,1
High,P::GLOBAL::AS,jwhile3469,1
High,P::GLOBAL::AS,jwhile3487,1
High,P::GLOBAL::AS,jwhile3480,1
High,P::GLOBAL::AS,jwhile3480,1
High,P::GLOBAL::AS,jwhile3469,1
High,P::GLOBAL::AS,jwhile3469,1
High,P::GLOBAL::AS,jwhile3487,1
High,P::GLOBAL::AS,jwhile3480,1
High,P::GLOBAL::AS,jwhile3480,1
High,P::GLOBAL::AS,jwhile3487,1
High,P::GLOBAL::AS,jwhile3480,1
High,P::GLOBAL::AS,jwhile3469,1
High,P::GLOBAL::AS,jwhile3487,1
High,P::GLOBAL::AS,jwhile3480,1
High,P::GLOBAL::AS,jwhile3487,1
High,P::GLOBAL::AS,jwhile3480,1
High,P::GLOBAL::AS,jwhile3469,1
High,P::GLOBAL::AS,jwhile3469,1
High,P::GLOBAL::AS,jwhile4469,1
High,P::GLOBAL::AS,jwhile4469,1
High,P::GLOBAL::AS,jwhile4469,1
High,P::GLOBAL::AS,jwhile4225,2
High,P::GLOBAL::AS,jwhile4470,1
High,P::GLOBAL::AS,jwhile4469,1
High,P::GLOBAL::AS,jwhile4225,2
High,P::GLOBAL::AS,jwhile4473,1
High,P::GLOBAL::AS,jwhile4469,1
High,P::GLOBAL::AS,jwhile4469,1
High,P::GLOBAL::AS,jwhile4469,1
High,P::GLOBAL::AS,jwhile4225,2
High,P::GLOBAL::AS,jwhile4473,1
High,P::GLOBAL::AS,jwhile4225,2
High,P::GLOBAL::AS,jwhile4225,2
High,P::GLOBAL::AS,jwhile4473,1
High,P::GLOBAL::AS,jwhile4469,1
High,P::GLOBAL::AS,jwhile4225,2
High,P::GLOBAL::AS,jwhile4225,2
High,P::GLOBAL::AS,jwhile4469,1
High,P::GLOBAL::AS,jwhile4469,1
High,P::GLOBAL::AS,jba_ques211,2
High,P::GLOBAL::AS,jba_ques212,2
High,P::GLOBAL::AS,jba_ques211,2
High,P::GLOBAL::AS,jba_ques212,2
High,P::GLOBAL::AS,jba_ques211,2
High,P::GLOBAL::AS,jba_ques212,2
High,P::GLOBAL::AS,jba_ques211,2
High,P::GLOBAL::AS,jba_ques212,2
High,P::GLOBAL::AS,jba_ques211,2
High,P::GLOBAL::AS,jba_ques212,2
High,P::GLOBAL::AS,jba_ques211,2
High,P::GLOBAL::AS,jba_ques212,2
High,P::GLOBAL::AS,jba_ques211,2
High,P::GLOBAL::AS,jba_ques212,2
High,P::GLOBAL::AS,jba_ques211,2
High,P::GLOBAL::AS,jba_ques212,2
High,P::GLOBAL::AS,jba_ques211,2
High,P::GLOBAL::AS,jba_ques212,2
High,P::GLOBAL::AS,jba_ques211,2
High,P::GLOBAL::AS,jba_ques212,2
High,P::GLOBAL::AS,jba_ques211,2
High,P::GLOBAL::AS,jba_ques212,2
High,P::GLOBAL::AS,jba_ques211,2
High,P::GLOBAL::AS,jba_ques212,2
High,P::GLOBAL::AS,jba_ques211,2
High,P::GLOBAL::AS,jba_ques212,2
High,P::GLOBAL::AS::GOAL,jdouble1498,0
High,P::GLOBAL::AS::GOAL,jdouble1215,2
High,P::GLOBAL::AS::GOAL,jdouble1498,0
High,P::GLOBAL::AS::GOAL,jdouble1215,2
High,P::GLOBAL::AS::GOAL,jdouble1498,0
High,P::GLOBAL::AS::GOAL,jdouble1215,2
High,P::GLOBAL::AS::GOAL,jdouble1498,0
High,P::GLOBAL::AS::GOAL,jdouble1215,2
High,P::GLOBAL::AS::GOAL,jdouble1498,0
High,P::GLOBAL::AS::GOAL,jdouble1215,2
High,P::GLOBAL::AS::GOAL,jdouble1498,0
High,P::GLOBAL::AS::GOAL,jdouble1215,2
High,P::GLOBAL::AS::GOAL,jdouble1498,0
High,P::GLOBAL::AS::GOAL,jdouble1215,2
High,P::GLOBAL::AS::GOAL,jdouble1498,0
