user,group,session,FailuedQuestion,sequenceExamples,result,retry,datentime
sia28,IS17Spring2015,EDADB,jusingFloat,Constants_v2:0.25:46.76;HelloPrinter:1.0:59.7;variables1_v2:1.0:37.87;variables2_v2:0.0:10.28;HelloWorld2_v2:0.3333333333333333:7.57;variables2_v2:1.0:49.45;HelloWorld2_v2:0.16666666666666666:8.01;HelloWorld2_v2:1.0:23.74;VariableDemo:1.0:23.46;PrintTester:0.5:4.51;PrintTester:1.0:59.12;JavaTutorial_4_1_5:1.0:19.87;JavaTutorial_4_1_5:0.0:5.2;PrimitiveDataTypes_v2:0.0:2.45;Constants_v2:0.25:40.34;Constants_v2:1.0:37.88;constant_v2:1.0:42.96;arithmetic_v2:0.6363636363636364:6.28;OperatorExample_v2:1.0:5.14;,0,0,2015-02-15 09:20:19.475
sia28,IS17Spring2015,41E7E,jString2,,1,4,2015-02-15 16:41:53.350
sia28,IS17Spring2015,41E7E,jString3,,0,1,2015-02-15 16:44:06.646
sia28,IS17Spring2015,41E7E,jString4,,0,1,2015-02-15 16:44:47.084
sia28,IS17Spring2015,41E7E,jString5,,0,1,2015-02-15 16:45:22.896
sia28,IS17Spring2015,41E7E,jString_to_Double,,0,1,2015-02-15 16:45:41.803
sia28,IS17Spring2015,41E7E,jString_to_Int,,0,1,2015-02-15 16:45:59.350
sia28,IS17Spring2015,41E7E,jStringReplace,,0,1,2015-02-15 16:47:29.646
sia28,IS17Spring2015,41E7E,jStringReplace,Bicycle_v2:0.44:1.9;Rectangle_v2:1.0:3.51;CounterDemo:0.6:8.71;CounterDemo:1.0:10.67;,0,0,2015-02-15 16:47:29.646
sia28,IS17Spring2015,E299B,jArray1,,0,1,2015-04-13 18:47:37.607
sia28,IS17Spring2015,E299B,jArray1,array_declaration_v2:1.0:4.86;using_array_v2:1.0:5.96;use_array_v2:1.0:4.28;use_array_v2:0.0:1.1;JavaTutorial_4_7_5:1.0:27.03;JavaTutorial_4_7_2:1.0:6.27;JavaTutorial_4_7_6:0.0:3.24;,0,0,2015-04-13 18:47:37.607
sia28,IS17Spring2015,E299B,jArray2,,0,1,2015-04-13 18:51:05.404
sia28,IS17Spring2015,E299B,jArray2,array_declaration_v2:0.0:2.06;JavaTutorial_4_7_5:0.0:2.47;,0,0,2015-04-13 18:51:05.404
sia28,IS17Spring2015,E299B,jArray1,,0,1,2015-04-13 18:51:54.513
sia28,IS17Spring2015,E299B,jArray2,,0,1,2015-04-13 18:55:53.138
sjk94,IS17Spring2015,E0B88,jprintlnTest,,0,2,2015-01-20 11:04:32.515
sjk94,IS17Spring2015,E0B88,jUsingDouble,,1,2,2015-01-20 11:06:48.453
sjk94,IS17Spring2015,E0B88,jVariable1,,0,1,2015-01-20 11:12:53.578
sjk94,IS17Spring2015,E0B88,jVariable1,increment_v2:0.125:6.83;CompoundAssignment:0.5:26.36;MathFunction_v2:0.25:4.56;,0,0,2015-01-20 11:12:53.578
sjk94,IS17Spring2015,E0B88,jPostIncrement,,0,1,2015-01-20 11:16:50.578
sjk94,IS17Spring2015,E0B88,jPostIncrement,increment_v2:0.25:1.38;,1,1,2015-01-20 11:16:50.578
sjk94,IS17Spring2015,E734E,jString1,,1,2,2015-02-03 11:14:54.343
sjk94,IS17Spring2015,E734E,jString2,,1,2,2015-02-03 11:15:35.921
sjk94,IS17Spring2015,E734E,jBoolean_Operators3,,1,2,2015-02-03 11:19:24.437
sjk94,IS17Spring2015,E734E,jbooleanOperationsOR,,0,3,2015-02-03 11:20:17.968
sjk94,IS17Spring2015,E734E,jbooleanOperationsNot,,0,1,2015-02-03 11:21:56.531
sjk94,IS17Spring2015,76F71,jObjects1,,1,2,2015-02-16 20:32:48.896
sjk94,IS17Spring2015,76F71,jObjects2,,1,2,2015-02-16 20:33:29.756
sjk94,IS17Spring2015,76F71,jObjects3,,1,2,2015-02-16 20:34:12.537
sjk94,IS17Spring2015,BB8D5,jBankAccount,,1,3,2015-02-17 10:12:02.318
sjk94,IS17Spring2015,BB8D5,jClasses_Getter,,1,2,2015-02-17 10:15:24.193
sjk94,IS17Spring2015,BB8D5,jClassBankAccountThis,,1,2,2015-02-17 10:16:09.350
sjk94,IS17Spring2015,B07B7,jClassCashRegister,,0,4,2015-02-23 21:56:53.646
sjk94,IS17Spring2015,B07B7,jClassCashRegister,CounterDemo:0.0:2.7;BankAccountTester:0.0:2.82;CashRegisterConstantField:0.0:1.93;thisReference:0.0:0.62;,0,0,2015-02-23 21:57:55.068
sjk94,IS17Spring2015,54918,jArray1,,1,2,2015-03-23 21:20:34.937
sjk94,IS17Spring2015,54918,jArray2,,0,2,2015-03-23 21:35:14.578
sjk94,IS17Spring2015,EC825,jArrayList1,,1,3,2015-03-24 09:16:55.343
sjk94,IS17Spring2015,EC825,jArrayList2,,1,2,2015-03-24 09:18:34.625
sjk94,IS17Spring2015,EC825,jArrayList3,,0,3,2015-03-24 09:21:07.281
sjk94,IS17Spring2015,EC825,jArrayList3,arraylist2_v2:0.9230769230769231:13.25;JavaTutorial_4_7_4:1.0:1.3;ArrayListTester:1.0:16.98;,0,0,2015-03-24 09:21:53.140
sjk94,IS17Spring2015,EC825,jArrayList5,,0,3,2015-03-24 10:04:41.140
sjk94,IS17Spring2015,EC825,jArray2,,0,1,2015-03-24 10:06:43.843
sjk94,IS17Spring2015,EC825,jArray2,using_array_v2:0.0:6.69;,0,0,2015-03-24 10:06:43.843
sjk94,IS17Spring2015,AB339,jInheritance1,,0,2,2015-04-02 09:14:23.968
sjk94,IS17Spring2015,AB339,jInheritance1,simple_inheritance_1:0.8333333333333334:23.33;,0,0,2015-04-02 09:14:48.062
sjk94,IS17Spring2015,AB339,jInheritance2,,0,1,2015-04-02 09:16:37.703
sjk94,IS17Spring2015,AB339,jInheritance2,poly_v2:0.5:10.3;,0,0,2015-04-02 09:16:37.703
sjk94,IS17Spring2015,AB339,jInheritance3,,0,1,2015-04-02 09:18:48.109
sjk94,IS17Spring2015,AB339,jInheritance3,inheritance_polymorphism_1:1.0:2.12;,0,0,2015-04-02 09:18:48.109
sjk94,IS17Spring2015,AB339,jInheritance4,,0,2,2015-04-02 09:21:14.250
sjk94,IS17Spring2015,AB339,jInheritance4,inheritance_casting_1:1.0:19.22;,0,0,2015-04-02 09:21:42.750
sjk94,IS17Spring2015,AB339,jInheritance5,,0,1,2015-04-02 09:23:32.984
sjk94,IS17Spring2015,AB339,jInheritance5,inheritance_polymorphism_2:0.5555555555555556:4.14;inheritance_constructors_1:1.0:4.06;OverridingObjectMethods:0.25:16.44;,0,0,2015-04-02 09:23:32.984
sjk94,IS17Spring2015,35CE0,jInterfaces1,,1,2,2015-04-09 11:18:35.342
sjk94,IS17Spring2015,D4A9A,jIfelse5,,0,1,2015-04-13 21:20:25.888
sjk94,IS17Spring2015,D4A9A,jEarthquake,,0,1,2015-04-13 21:21:43.342
sjk94,IS17Spring2015,D4A9A,jEarthquake,while_v2:1.0:0.49;,0,0,2015-04-13 21:21:43.342
sjk94,IS17Spring2015,D4A9A,jWhile3,,0,1,2015-04-13 21:24:29.295
sjk94,IS17Spring2015,D4A9A,jWhile4,,0,2,2015-04-13 22:06:20.763
sjk94,IS17Spring2015,D4A9A,jWhile4,for1_v2:0.5:16.06;,0,0,2015-04-13 22:07:08.232
sjk94,IS17Spring2015,D4A9A,jFor3,,1,2,2015-04-13 22:09:25.373
sjk94,IS17Spring2015,D4A9A,jNested1,,0,2,2015-04-13 22:10:51.951
sjk94,IS17Spring2015,D4A9A,jClassCashRegister,,0,1,2015-04-13 22:20:39.263
msv12,IS17Spring2015,E0655,jString2,,1,2,2015-02-13 21:29:40.740
msv12,IS17Spring2015,C8255,jprintlnTest,,1,5,2015-02-26 01:35:07.693
msv12,IS17Spring2015,C8255,jUsingDouble,,1,3,2015-02-26 01:42:21.381
msv12,IS17Spring2015,C8255,jusingFloat,,1,2,2015-02-26 01:43:36.693
msv12,IS17Spring2015,C8255,jOperator1,,1,2,2015-02-26 01:58:34.303
msv12,IS17Spring2015,C8255,jPostIncrement,,1,2,2015-02-26 02:00:03.412
msv12,IS17Spring2015,C8255,jDouble1,,1,2,2015-02-26 02:02:02.568
msv12,IS17Spring2015,C8255,jMathFuc1,,1,2,2015-02-26 02:02:34.100
msv12,IS17Spring2015,C8255,jMathAbs,,1,3,2015-02-26 02:04:36.943
msv12,IS17Spring2015,C8255,jMathCeil,,1,4,2015-02-26 02:05:19.896
msv12,IS17Spring2015,C8255,jConstants3,,1,2,2015-02-26 02:09:13.803
msv12,IS17Spring2015,C8255,jDivision,,1,3,2015-02-26 02:11:17.756
msv12,IS17Spring2015,A6621,jString1,,1,2,2015-02-26 13:28:36.787
msv12,IS17Spring2015,A6621,jString3,,1,2,2015-02-26 13:39:30.287
msv12,IS17Spring2015,A6621,jString5,,1,2,2015-02-26 13:41:04.084
msv12,IS17Spring2015,A6621,jString6,,1,3,2015-02-26 13:42:13.803
msv12,IS17Spring2015,A6621,jStringEqual,,0,2,2015-02-26 13:44:10.490
ryp6,IS17Spring2015,CBEF2,jVariables2,,1,2,2015-01-15 19:51:45.781
ryp6,IS17Spring2015,CBEF2,jprintlnTest,,1,3,2015-01-15 19:53:24.437
ryp6,IS17Spring2015,CBEF2,jConstants2,,1,4,2015-01-15 20:00:12.531
ryp6,IS17Spring2015,CBEF2,jVariable1,,1,2,2015-01-15 20:05:33.999
ryp6,IS17Spring2015,CBEF2,jVariable1,,1,2,2015-01-15 20:08:40.843
ryp6,IS17Spring2015,CBEF2,jOperator1,,1,3,2015-01-15 20:09:48.624
ryp6,IS17Spring2015,CBEF2,jOperator1,,1,2,2015-01-15 20:11:29.953
ryp6,IS17Spring2015,CBEF2,jIncrement,,1,2,2015-01-15 20:17:42.812
ryp6,IS17Spring2015,CBEF2,jIncrement,,1,2,2015-01-15 20:18:57.703
ryp6,IS17Spring2015,CBEF2,jPostIncrement,,1,2,2015-01-15 20:21:30.421
ryp6,IS17Spring2015,CBEF2,jPostDecrement,,0,1,2015-01-15 21:01:50.203
ryp6,IS17Spring2015,95727,jPreDecrement,,1,2,2015-01-17 00:49:35.671
ryp6,IS17Spring2015,95727,jDouble1,,0,1,2015-01-17 00:52:57.734
ryp6,IS17Spring2015,95727,jDouble1,TypeCasting_v2:1.0:34.33;,1,1,2015-01-17 00:52:57.734
ryp6,IS17Spring2015,95727,jMathFuc1,,1,2,2015-01-17 01:01:00.796
ryp6,IS17Spring2015,95727,jMathAbs,,1,2,2015-01-17 01:03:32.906
ryp6,IS17Spring2015,95727,jMathCeil,,1,2,2015-01-17 01:11:01.796
ryp6,IS17Spring2015,95727,jMathCeil,,1,2,2015-01-17 01:11:50.749
ryp6,IS17Spring2015,95727,jMathCeil,,1,2,2015-01-17 01:12:25.062
ryp6,IS17Spring2015,95727,jConstants3,,1,2,2015-01-17 01:14:05.437
ryp6,IS17Spring2015,95727,jDivision,,1,2,2015-01-17 01:16:27.765
ryp6,IS17Spring2015,C27C4,jString1,,1,4,2015-01-18 21:32:31.562
ryp6,IS17Spring2015,C27C4,jString2,,1,2,2015-01-18 22:04:15.140
ryp6,IS17Spring2015,C27C4,jString2,,1,2,2015-01-18 22:05:23.124
ryp6,IS17Spring2015,C27C4,jString3,,1,2,2015-01-18 22:06:18.812
ryp6,IS17Spring2015,C27C4,jStringEqual,,0,1,2015-01-18 22:11:46.718
ryp6,IS17Spring2015,C27C4,jStringEqual,stringEquals:0.75:15.27;StringsReplace:1.0:7.97;StringsEqualsIgnoreCase:1.0:6.33;,1,4,2015-01-18 22:11:46.718
ryp6,IS17Spring2015,C27C4,jStringReplace,,1,6,2015-01-18 22:20:26.578
ryp6,IS17Spring2015,C27C4,jBoolean_Method,,0,1,2015-01-18 22:25:54.937
ryp6,IS17Spring2015,C27C4,jBoolean_Method,CreateString_v2:0.0:0.06;CreateString_v2:1.0:11.28;boolean_declaration_v2:1.0:2.06;boolean_expression_v2:1.0:8.72;boolean_operators_v2:0.75:8.08;,1,1,2015-01-18 22:25:54.937
ryp6,IS17Spring2015,C27C4,jbooleanOperationsOR,,1,2,2015-01-18 22:37:34.296
ryp6,IS17Spring2015,C27C4,jbooleanOperationsNot,,1,2,2015-01-18 22:40:32.328
ryp6,IS17Spring2015,A3138,jEarthquake,,1,2,2015-01-19 19:50:44.781
ryp6,IS17Spring2015,6F78A,jIfelse1,,1,2,2015-01-21 14:27:42.437
ryp6,IS17Spring2015,6F78A,jBoolean_Operators3,,1,2,2015-01-21 14:29:28.687
ryp6,IS17Spring2015,6F78A,jtestNull,,1,5,2015-01-21 14:30:18.218
ryp6,IS17Spring2015,97F91,jCompareString,,1,6,2015-01-21 22:58:10.187
ryp6,IS17Spring2015,8961B,jConstants2,,0,1,2015-01-26 22:14:42.015
ryp6,IS17Spring2015,8961B,jCompoundAssignment_mult,,0,1,2015-01-26 22:15:37.749
ryp6,IS17Spring2015,8961B,jPostDecrement,,1,2,2015-01-26 22:17:01.203
ryp6,IS17Spring2015,8961B,jDivision,,0,1,2015-01-26 22:19:47.781
ryp6,IS17Spring2015,8961B,jStringReplace,,0,3,2015-01-26 22:23:35.265
ryp6,IS17Spring2015,8961B,jbooleanOperationsLessEqual,,1,2,2015-01-26 22:27:03.703
ryp6,IS17Spring2015,8961B,jbooleanOperationsOR,,1,2,2015-01-26 22:28:33.890
qig12,IS17Spring2015,1160C,jBoolean_Var,,1,2,2015-01-27 14:38:57.265
qig12,IS17Spring2015,2E510,jEarthquake,,1,5,2015-01-29 15:46:04.796
qig12,IS17Spring2015,2E510,jWhile3,,1,2,2015-01-29 16:14:05.343
qig12,IS17Spring2015,2E510,jWhile3,,1,3,2015-01-29 16:16:05.937
qig12,IS17Spring2015,2E510,jWhile3,,1,2,2015-01-29 17:33:33.484
qig12,IS17Spring2015,2E510,jWhile3,,1,2,2015-01-29 17:34:08.718
qig12,IS17Spring2015,4EF51,jObjects1,,0,1,2015-04-02 10:00:55.578
qig12,IS17Spring2015,4EF51,jObjects1,arraylist1_v2:0.0:3.45;,1,2,2015-04-02 10:00:55.578
qig12,IS17Spring2015,4EF51,jObjects3,,0,1,2015-04-02 10:03:24.906
qig13,IS17Spring2015,EB860,jprintlnTest,,1,3,2015-01-15 20:55:09.296
qig13,IS17Spring2015,EB860,jusingFloat,,1,2,2015-01-15 21:00:50.515
qig13,IS17Spring2015,EB860,jCompoundAssignment_mult,,1,2,2015-01-15 21:01:30.093
qig13,IS17Spring2015,EB860,jPostIncrement,,1,3,2015-01-15 21:03:12.906
qig13,IS17Spring2015,EB860,jPostDecrement,,0,1,2015-01-15 21:04:59.624
qig13,IS17Spring2015,EB860,jPostDecrement,CompoundAssignment:0.6666666666666666:1.17;Decrement:0.25:1.67;increment_v2:0.625:11.27;Decrement:0.125:414.83;,0,1,2015-01-15 21:04:59.624
qig13,IS17Spring2015,EB860,jMathFuc1,,0,1,2015-01-15 21:16:39.624
qig13,IS17Spring2015,EB860,jMathFuc1,MathFunction_v2:1.0:2.78;,1,1,2015-01-15 21:16:39.624
qig13,IS17Spring2015,E68D2,jPostIncrement,,0,1,2015-01-15 23:03:08.296
qig13,IS17Spring2015,E68D2,jPostDecrement,,0,1,2015-01-15 23:03:17.999
qig13,IS17Spring2015,E68D2,jCompoundAssignment_mult,,0,1,2015-01-15 23:04:07.812
qig13,IS17Spring2015,E68D2,jMathAbs,,1,2,2015-01-15 23:08:57.062
qig13,IS17Spring2015,E68D2,jDivision,,1,3,2015-01-15 23:12:05.171
qig13,IS17Spring2015,E68D2,jStringEqual,,0,1,2015-01-15 23:21:55.921
qig13,IS17Spring2015,E68D2,jFor1,,0,3,2015-01-15 23:23:32.906
qig13,IS17Spring2015,C994B,jStringEqual,,0,4,2015-01-16 15:19:30.234
qig13,IS17Spring2015,C994B,jStringEqual,JavaTutorial_4_6_7:0.0:1.61;,0,0,2015-01-16 15:20:40.203
qig13,IS17Spring2015,A9670,jStringEqual,,1,2,2015-01-19 23:13:55.687
qig13,IS17Spring2015,A9670,jStringReplace,,0,1,2015-01-19 23:15:51.281
qig13,IS17Spring2015,A9670,jStringReplace,PrimitiveDataTypes_v2:0.125:2.16;PrimitiveDataTypes_v2:1.0:0.58;,0,0,2015-01-19 23:15:51.281
qig13,IS17Spring2015,A9670,jString_to_Double,,0,1,2015-01-19 23:20:29.937
qig13,IS17Spring2015,ED0D1,jbooleanOperationsOR,,1,2,2015-01-28 16:16:40.140
qig13,IS17Spring2015,ED0D1,jbooleanOperationsNotEqual,,1,2,2015-01-28 16:17:24.874
qig13,IS17Spring2015,ED0D1,jIfelse1,,1,2,2015-01-28 16:18:58.328
qig13,IS17Spring2015,ED0D1,jtestNull,,1,2,2015-01-28 16:21:25.578
qig13,IS17Spring2015,ED0D1,jStringReplace,,0,1,2015-01-28 16:24:02.124
qig13,IS17Spring2015,ED0D1,jWhile1,,1,2,2015-01-28 16:24:31.359
qig13,IS17Spring2015,ED0D1,jWhile2,,0,2,2015-01-28 16:24:57.390
qig13,IS17Spring2015,03412,jbooleanOperationsGreaterEqual,,0,1,2015-01-29 19:52:31.921
qig13,IS17Spring2015,8BC64,jWhile1,,0,3,2015-02-01 15:53:53.968
qig13,IS17Spring2015,8BC64,jWhile4,,1,2,2015-02-01 15:57:15.390
qig13,IS17Spring2015,957FD,jFor3,,1,2,2015-02-04 22:55:21.526
qig13,IS17Spring2015,8E3EA,jObjects1,,0,1,2015-02-06 10:17:29.506
qig13,IS17Spring2015,8E3EA,jBankAccount,,1,2,2015-02-06 10:20:59.709
qig13,IS17Spring2015,8E3EA,jClasses4,,1,2,2015-02-06 10:26:11.146
qig13,IS17Spring2015,A1B7C,jStringReplace,,1,3,2015-02-08 17:08:33.865
qig13,IS17Spring2015,CEA43,jClassBankAccountThis,,1,2,2015-02-12 10:39:54.990
qig13,IS17Spring2015,B7EE8,jObjects1,,0,2,2015-02-13 23:07:29.506
qig13,IS17Spring2015,8174D,jObjects3,,1,2,2015-02-16 20:14:08.178
qig13,IS17Spring2015,FD2AB,jNested2,,1,2,2015-02-28 17:23:07.365
qig13,IS17Spring2015,FD2AB,jNested2,,0,1,2015-02-28 17:25:17.428
qig13,IS17Spring2015,2B819,jArray2,,1,3,2015-03-20 20:32:07.000
qig13,IS17Spring2015,2B819,jArray3,,1,2,2015-03-20 20:35:01.421
qig13,IS17Spring2015,2B819,jArray5,,1,2,2015-03-20 20:37:13.218
qig13,IS17Spring2015,2B819,jEnhancedForLoop,,1,2,2015-03-20 20:39:22.046
qig13,IS17Spring2015,2B819,jArrayList3,,1,3,2015-03-20 21:02:04.078
qig13,IS17Spring2015,2B819,jArrayList4,,1,2,2015-03-20 21:02:56.968
qig13,IS17Spring2015,2B819,jArrayList5,,1,3,2015-03-20 21:04:18.843
qig13,IS17Spring2015,D077A,j2D_Arrays1,,1,2,2015-03-22 21:06:27.671
qig13,IS17Spring2015,D077A,j2D_arrays3,,1,2,2015-03-22 21:11:45.171
qig13,IS17Spring2015,40AA6,jInheritance1,,1,2,2015-04-01 23:36:39.812
qig13,IS17Spring2015,40AA6,jInheritance2,,1,2,2015-04-01 23:37:46.968
qig13,IS17Spring2015,40AA6,jInheritance3,,1,4,2015-04-01 23:39:41.062
qig13,IS17Spring2015,40AA6,jInheritance5,,0,3,2015-04-01 23:43:44.281
dch38,IS17Spring2015,88D75,jprintlnTest,,0,3,2015-01-27 13:51:50.531
dch38,IS17Spring2015,88D75,jUsingDouble,,1,2,2015-01-27 13:59:09.531
dch38,IS17Spring2015,88D75,jCompoundAssignment_mult,,1,2,2015-01-27 14:09:53.062
dch38,IS17Spring2015,88D75,jOperator1,,0,1,2015-01-27 14:18:53.234
dch38,IS17Spring2015,88D75,jOperator1,OperatorExample_v2:1.0:4.7;ifelse2_v2:0.75:11.47;,1,2,2015-01-27 14:18:53.234
dch38,IS17Spring2015,88D75,jOperator1,,1,2,2015-01-27 14:21:23.906
dch38,IS17Spring2015,88D75,jPostIncrement,,1,3,2015-01-27 14:23:11.093
dch38,IS17Spring2015,88D75,jPostDecrement,,1,2,2015-01-27 14:25:27.437
dch38,IS17Spring2015,88D75,jPreDecrement,,1,2,2015-01-27 14:29:31.468
dch38,IS17Spring2015,88D75,jMathFuc1,,1,3,2015-01-27 14:33:26.109
dch38,IS17Spring2015,88D75,jMathAbs,,1,2,2015-01-27 14:39:05.749
dch38,IS17Spring2015,88D75,jMathCeil,,0,3,2015-01-27 14:40:18.953
dch38,IS17Spring2015,88D75,jMathCeil,TypeCasting_v2:0.0:2.89;MathFunction_v2:0.25:0;,0,0,2015-01-27 14:42:23.062
dch38,IS17Spring2015,F2693,jString1,,1,2,2015-02-10 18:32:40.959
dch38,IS17Spring2015,F2693,jString4,,0,1,2015-02-10 18:47:52.396
dch38,IS17Spring2015,F2693,jString4,variables2_v2:0.0:5.04;HelloWorld2_v2:0.0:0.79;string_length_v2:0.0:1.43;CreateString_v2:0.0:3.34;substring_v2:0.0:8.69;HelloWorld2_v2:0.0:15.79;,1,1,2015-02-10 18:47:52.396
dch38,IS17Spring2015,F2693,jString4,,1,2,2015-02-10 18:50:14.725
dch38,IS17Spring2015,F2693,jString4,,1,2,2015-02-10 18:57:19.787
dch38,IS17Spring2015,F2693,jString5,,1,4,2015-02-10 19:08:50.068
dch38,IS17Spring2015,F2693,jString6,,1,2,2015-02-10 19:13:32.725
dch38,IS17Spring2015,F2693,jStringEqual,,0,4,2015-02-10 19:29:11.818
dch38,IS17Spring2015,F2693,jStringReplace,,0,2,2015-02-10 19:34:23.975
dch38,IS17Spring2015,57645,jBoolean_Var,,1,2,2015-02-12 10:38:03.021
